technique,summary,success,error,latency,summary_length,rouge1_precision,rouge1_recall,rouge1_f1,rouge2_precision,rouge2_recall,rouge2_f1,rougeL_precision,rougeL_recall,rougeL_f1,news_id,title,category,original_length,sentences_count
TextRank,"**Agência Museu Goeldi** **-** O processo seletivo do Clube de Pesquisadores Mirins acontece até a próxima sexta-feira (06/03), no Campus de Pesquisa do Museu Paraense Emílio Goeldi (MPEG), no bairro Terra Firme. 03/03: Seleção de veteranos, no Parque Zoobotânico do Museu Goeldi 04/03: Seleção para turma Planeta Animal, no Campus de Pesquisa 05/03: Seleção para turma Jardins da Ciência, no Campus de Pesquisa 06/03: Seleção para a turma Planeta Animal, no Campus de Pesquisa 16/03: Resultado final da seleção dos candidatos, no portal e no Instagram 24/03: Início das aulas da turma Jardins da Ciência 25/03: Início das aulas da turma Planeta Animal",True,,0.12519598007202148,652,0.3951612903225806,0.620253164556962,0.4827586206896551,0.18699186991869918,0.2948717948717949,0.2288557213930348,0.28225806451612906,0.4430379746835443,0.3448275862068966,doc_11_30,"Seleção para o Clube de Pesquisadores Mirins acontece até esta sexta-feira,  no Campus de Pesquisa do Museu Goeldi",Educação,3613,2
TextRank,"A abertura contou com a participação do jornalista e poeta James Martins, que abriu o evento lendo o manifesto do Rede Capoeira, que destacou a capoeira como expressão multidisciplinar e coletiva. Para ele, a capoeira leva o Brasil ao mundo e exige que o país reconheça seus próprios heróis populares.",True,,0.02756977081298828,301,0.6785714285714286,0.5277777777777778,0.5937499999999999,0.32727272727272727,0.2535211267605634,0.28571428571428575,0.48214285714285715,0.375,0.42187499999999994,doc_07_00_syn_extract_middle_6529,Heróis da Pátria são reconhecidos durante 7a edição do Rede Capoeira em Cachoeira (BA),"Cultura, Artes e Patrimônio",434,2
TextRank,"Antes da norma, a cobrança variava de forma significativa entre os estados e acabou se tornando um dos principais custos que oneravam os serviços vinculados à carteira de motorista no país.",True,,0.026801347732543945,189,0.2727272727272727,0.11538461538461539,0.16216216216216214,0.03125,0.012987012987012988,0.01834862385321101,0.15151515151515152,0.0641025641025641,0.09009009009009009,doc_13_07_syn_extract_middle_5345,Justiça suspende decisão do TCE-MG e garante teto nacional dos exames da CNH do Brasil,Economia e Finanças,189,2
TextRank,"O programa, fruto de uma parceria entre a Secretaria de Educação Continuada, Alfabetização, Diversidade e Inclusão (SECAI/MEC) e a CAPES, busca ampliar o acesso e a permanência de estudantes pretos, pardos, indígenas e quilombolas, bem como de populações do campo e de pessoas com deficiência ou altas habilidades. **Sobre o Programa Abdias Nascimento** O [Programa de Desenvolvimento Acadêmico Abdias Nascimento](http://www.gov.br/capes/pt-br/acesso-a-informacao/acoes-e-programas/bolsas/bolsas-e-auxilios-internacionais/encontre-aqui/paises/multinacional/programa-de-desenvolvimento-academico-abdias-nascimento) é uma iniciativa da CAPES e da Secretaria de Educação Continuada, Alfabetização de Jovens e Adultos, Diversidade e Inclusão (Secadi) do Ministério da Educação (MEC) voltada à promoção de ações afirmativas na pós-graduação *stricto sensu* e formação de professores para a educação básica.",True,,0.03075575828552246,901,0.3708609271523179,0.56,0.44621513944223107,0.16666666666666666,0.25252525252525254,0.20080321285140562,0.2119205298013245,0.32,0.2549800796812749,doc_03_00,Programa Abdias Nascimento: CAPES publica edital de renovação de projetos para 2026,Educação,3265,2
TextRank,"Em relação à carga geral solta, a movimentação atingiu 65,8 milhões de toneladas, um crescimento de 0,8%. Os granéis sólidos movimentaram 839,7 milhões de toneladas de cargas (aumento de 6,3%) e os granéis líquidos chegaram a 333 milhões de toneladas de cargas (aumento de 6,1% quando comparado à 2024).",True,,0.02560734748840332,303,0.8032786885245902,0.7205882352941176,0.7596899224806202,0.5666666666666667,0.5074626865671642,0.5354330708661418,0.5245901639344263,0.47058823529411764,0.49612403100775193,doc_13_05_syn_extract_middle_7232,"Setor aquaviário brasileiro movimentou, em 2025, 1,4 bi de toneladas",Economia e Finanças,304,2
TextRank,"O Ministério da Ciência, Tecnologia e Inovação vai investir R$ 1 milhão na iniciativa já em execução pelo Instituto Federal do Acre ! Para a diretora de Popularização da Ciência, Tecnologia e Educação Científica do MCTI, Juana Nunes, o programa é uma forma de mostrar que a educação básica também faz ciência e pesquisa.",True,,0.034940481185913086,320,0.6923076923076923,0.4787234042553192,0.5660377358490566,0.453125,0.3118279569892473,0.3694267515923567,0.46153846153846156,0.3191489361702128,0.37735849056603776,doc_05_23,MCTI lança programa Mais Ciência na Escola no Acre,"Ciência, Tecnologia e Inovação",4408,2
TextRank,"[Foto: Divulgação/MS](https://www.gov.br/saude/pt-br/assuntos/noticias/2026/marco/ministerio-da-saude-e-ipea-debatem-indice-de-vulnerabilidade-social-e-ambiental-para-o-sus/foto-divulgacao-ms.jpg/@@images/c6ce315d-aeda-415d-8604-e1bfcefe0706.jpeg) O cofinanciamento federal da atenção primária, por exemplo, leva em conta esse indicador de desigualdades, ou seja, a classificação de vulnerabilidade social do município impacta nos recursos que ele recebe.",True,,0.026913166046142578,455,0.29333333333333333,0.2972972972972973,0.29530201342281887,0.08108108108108109,0.0821917808219178,0.0816326530612245,0.21333333333333335,0.21621621621621623,0.21476510067114093,doc_15_47_syn_short_9423,Ministério da Saúde e Ipea debatem Índice de Vulnerabilidade Social e Ambiental para o SUS,Saúde,743,2
TextRank,"Nova rota entre Rio de Janeiro e Nova York e ampliação da conectividade aérea fortalecem o turismo, impulsionam a economia e favorecem a geração de empregos no país ! O ministro do Turismo, Gustavo Feliciano, participou nesta sexta-feira (06.03), no Rio de Janeiro (RJ), de agenda ao lado do presidente da República, Luiz Inácio Lula da Silva, durante o anúncio da criação de um hub internacional da companhia aérea Gol Linhas Aéreas no Aeroporto Internacional Tom Jobim (Galeão).",True,,0.02796649932861328,480,0.5333333333333333,0.5714285714285714,0.5517241379310344,0.2696629213483146,0.2891566265060241,0.2790697674418604,0.23333333333333334,0.25,0.2413793103448276,doc_13_30_syn_short_8434,Governo do Brasil anuncia hub internacional no Galeão e reforça papel do turismo na geração de empregos,Turismo,1209,2
TextRank,"Encontros em Salgueiro e Caruaru reúnem especialistas e instituições para atualizar estratégias ambientais no semiárido pernambucano ! [Com mais de 90% do território suscetível à desertificação, Pernambuco recebe seminários sobre o tema a partir de 23 de março](https://www.gov.br/sudene/pt-br/assuntos/noticias/com-mais-de-90-do-territorio-suscetivel-a-desertificacao-pernambuco-recebe-seminarios-sobre-o-tema-a-partir-de-23-de-marco/desertificacao.jpg/@@images/2b7a1a63-0f35-4a01-8777-e77122ef9056.jpeg)",True,,0.026753902435302734,505,0.4880952380952381,0.5540540540540541,0.5189873417721519,0.3373493975903614,0.3835616438356164,0.358974358974359,0.25,0.28378378378378377,0.26582278481012656,doc_15_45_syn_extract_first_9856,"Com mais de 90% do território suscetível à desertificação, Pernambuco recebe seminários sobre o tema a partir de 23 de março",Meio Ambiente e Sustentabilidade,504,2
TextRank,Participação das redes é voluntária e ocorre em duas etapas. Interessados têm até sexta-feira (13) para se inscrever no programa que oferece apoio financeiro para o fortalecimento da matemática nas escolas !,True,,0.030059814453125,207,0.8,0.4666666666666667,0.5894736842105264,0.6176470588235294,0.3559322033898305,0.4516129032258065,0.4857142857142857,0.2833333333333333,0.35789473684210527,doc_11_39_syn_extract_first_6344,Últimos dias para aderir ao Compromisso Nacional Toda Matemática,Educação,426,2
