technique,summary,success,error,latency,summary_length,rouge1_precision,rouge1_recall,rouge1_f1,rouge2_precision,rouge2_recall,rouge2_f1,rougeL_precision,rougeL_recall,rougeL_f1,news_id,category,subcategory,agency,original_length
Nova Pro V2.5,"O Instituto Nacional do Seguro Social (INSS) instituiu pela primeira vez uma coordenação específica para fiscalizar e aplicar multas a cartórios que não informam registros civis que impactam a Previdência Social, atendendo a uma determinação do Tribunal de Contas da União (TCU). Com a criação desta coordenação, o INSS estruturará a cobrança de multas administrativas, que variam de R$ 636,17 a R$ 3.180,85 por infração, podendo arrecadar até R$ 14 bilhões.",True,,2.129204273223877,458,0.5465116279069767,0.5280898876404494,0.5371428571428571,0.29411764705882354,0.2840909090909091,0.28901734104046245,0.43023255813953487,0.4157303370786517,0.4228571428571429,35ba53e208af663286aa8409b6508c38,Políticas Públicas e Governança,Gestão Pública,inss,1685
Nova Pro V2.5,"O Instituto do Patrimônio Histórico e Artístico Nacional (Iphan) investiu R$ 2,56 milhões via Novo PAC para restaurar a Igreja de São Benedito em Antonina (PR), cujo centro histórico é tombado desde 2012. As obras, iniciadas em 27/02 e com previsão de término em outubro, incluem a requalificação do entorno e seguem diretrizes de preservação para bens tombados.",True,,0.8839612007141113,362,0.8115942028985508,0.7567567567567568,0.7832167832167832,0.6323529411764706,0.589041095890411,0.6099290780141843,0.6956521739130435,0.6486486486486487,0.6713286713286714,3644236efea439527ee83ebb5b8ec299,"Cultura, Artes e Patrimônio",Preservação do Patrimônio,iphan,2234
Nova Pro V2.5,"O Governo do Brasil na Rua, ação que leva serviços e atendimentos gratuitos diretamente à população, será realizado neste sábado (13) no Sol Nascente (DF), das 9h às 17h. Serão oferecidos serviços de saúde, educação, emprego, cultura, direitos, empreendedorismo e cuidado com pets, incluindo verificação de saúde, orientações previdenciárias, cadastro de animais, apoio ao empreendedor, oficinas de capacitação e atividades culturais.",True,,1.3993737697601318,434,0.7397260273972602,0.5869565217391305,0.6545454545454545,0.3333333333333333,0.26373626373626374,0.29447852760736193,0.3972602739726027,0.31521739130434784,0.3515151515151515,df570c78443a519e966331347f1bf530,Saúde,Campanhas de Saúde Pública,secom,5634
Nova Pro V2.5,Os ministros Waldez Góes e Márcia Lopes assinaram ofício com diretrizes de equidade de gênero e anunciaram medidas para transformar a cultura institucional do Ministério da Integração e do Desenvolvimento Regional (MIDR). O MIDR reafirmou a adesão ao Pacto Nacional Brasil Contra o Feminicídio e assumiu compromissos como contratação de empresas com 4% de mulheres vítimas de violência e elaboração de Protocolo de Prevenção da Violência contra as Mulheres.,True,,1.2867016792297363,457,0.8795180722891566,0.6083333333333333,0.7192118226600984,0.6463414634146342,0.44537815126050423,0.527363184079602,0.5542168674698795,0.38333333333333336,0.4532019704433498,6f4430865ab0b9a24ae02f159449b0fc,Justiça e Direitos Humanos,Políticas Antidiscriminatórias,mdr,6499
Nova Pro V2.5,"O ministro do Desenvolvimento Agrário e Agricultura Familiar, Paulo Teixeira, abriu a mesa ""Novas políticas públicas de comercialização da agricultura familiar"" durante o Encontro Interestadual de Planejamento em São Paulo. Teixeira destacou a importância da agricultura familiar para a alimentação adequada da população e citou o Desenrola Rural, que renegociou R$ 20 bilhões para 463 mil agricultores, e o aumento de 30% para 45% nas compras da agricultura familiar para o Programa Nacional de Alimentação Escolar.",True,,1.055635690689087,516,0.6976744186046512,0.5714285714285714,0.6282722513089005,0.4588235294117647,0.375,0.41269841269841273,0.5697674418604651,0.4666666666666667,0.5130890052356021,9dba4ecb8873072832c4e2865b4bb01d,"Agricultura, Pecuária e Abastecimento",Agricultura Familiar,mda,2775
Nova Pro V2.5,"O Brasil, como Destino Internacional Convidado, iniciou sua participação na “Better Tourism Lisbon Travel” (BTL 2026), a maior feira de turismo de Portugal, com um estande imersivo e sensorial que promove a diversidade natural, cultural e gastronômica do país. Representando o ministro do Turismo, Gustavo Feliciano, a secretária-executiva Fernanda Norat destacou a oportunidade de fortalecer a imagem do Brasil e o aumento de 35% na chegada de turistas portugueses em janeiro, totalizando 28.678 viajantes.",True,,1.4368183612823486,507,0.6625,0.5247524752475248,0.585635359116022,0.379746835443038,0.3,0.33519553072625696,0.425,0.33663366336633666,0.37569060773480667,1ccfc938086e777f6c30ca61c7d62a47,Turismo,Promoção Turística,turismo,3916
Nova Pro V2.5,"O Congresso Nacional promulgou o acordo provisório de comércio entre o Mercosul e a União Europeia, assinado em janeiro após mais de duas décadas de negociações. O acordo prevê a redução de tarifas para 91% dos produtos importados pelo Mercosul e 95% dos produtos importados pela União Europeia, com expectativa de entrada em vigor em até 60 dias. O mercado conjunto dos blocos representa 718 milhões de pessoas e um PIB de R$ 115 trilhões.",True,,1.0664496421813965,440,0.7058823529411765,0.6741573033707865,0.6896551724137931,0.5595238095238095,0.5340909090909091,0.5465116279069768,0.611764705882353,0.5842696629213483,0.5977011494252874,congresso-nacional-aprova-acordo-entre-mercosul-e-uniao-europeia_897345,Economia e Finanças,Investimentos e Comércio Exterior,tvbrasil,1788
Nova Pro V2.5,"A Secretaria do Patrimônio da União (SPU) e o Ministério da Gestão e Inovação em Serviços Públicos (MGI) publicaram portaria que eleva para 83 os núcleos informais em terrenos da União aptos a receber título definitivo de propriedade. Estados e municípios têm 15 dias para manifestar interesse pela adesão, sob pena de substituição das áreas. A iniciativa, com orçamento de R$ 200 milhões, financiará todo o processo de regularização fundiária, do levantamento das áreas até o registro em cartório, beneficiando até 140 mil famílias.",True,,1.5763506889343262,533,0.7307692307692307,0.7307692307692307,0.7307692307692306,0.5533980582524272,0.5533980582524272,0.5533980582524272,0.5576923076923077,0.5576923076923077,0.5576923076923077,8a7c69607cf0644ac41f0ba14412b4c9,Habitação e Urbanismo,Programas Habitacionais,gestao,5592
Nova Pro V2.5,"O Conselho Monetário Nacional (CMN) regulamentou uma linha emergencial de crédito de até R$ 500 milhões, provenientes do superávit financeiro do Fundo Social do Pré-Sal, para pessoas físicas e empresas afetadas pelas enchentes em Minas Gerais. A medida, autorizada pela Medida Provisória nº 1.337 de 2026, visa apoiar a recuperação econômica e social das regiões atingidas. Os recursos serão disponibilizados pelo Banco do Brasil e Caixa Econômica Federal até 4 de julho de 2026, sem impacto no resultado primário das contas públicas, pois o risco será assumido pelas instituições financeiras.",True,,1.463930368423462,593,0.5754716981132075,0.7261904761904762,0.6421052631578947,0.4095238095238095,0.5180722891566265,0.4574468085106383,0.44339622641509435,0.5595238095238095,0.49473684210526314,866583e89f6f16445c6441479c0fb152,Economia e Finanças,Política Econômica,agencia_brasil,1727
Nova Pro V2.5,"O Ministério da Cultura (MinC), por meio do Iphan e da Fundação Cultural Palmares, e o Ministério da Justiça e Segurança Pública assinaram Termo de Execução Descentralizada (TED) para restaurar e requalificar o Armazém Docas André Rebouças, transformando-o em um complexo voltado à valorização da memória afro-brasileira. A obra, financiada com R$ 86 milhões do Fundo de Defesa de Direitos Difusos (FDD), tem previsão de conclusão em 30 meses.",True,,1.5334827899932861,443,0.7023809523809523,0.48360655737704916,0.5728155339805825,0.39759036144578314,0.2727272727272727,0.32352941176470584,0.34523809523809523,0.23770491803278687,0.2815533980582524,6e00e0ee0bd48c484e9d21c425b3533b,"Cultura, Artes e Patrimônio",Preservação do Patrimônio,cultura,5691
